class,name,profile description,dog description
musician,Béla Bartók,"Béla Viktor János Bartók (25 March 1881 – 26 September 1945) was a Hungarian composer, pianist, and ethnomusicologist. He is considered one of the most important composers of the 20th century; he and Franz Liszt are regarded as Hungary's greatest composers. Through his collection and analytical study of folk music, he was one of the founders of comparative musicology, which later became ethnomusicology.","The saying goes ""GOOD things come in SMALL packages. That saying describes Axel. Let me tell you all the good things about this amazing Jack Russell terrier. First he is a true working terrier who has a strong desire to please and is happiest when he can run and play. He makes a great work-out partner and after a fun day of play and exercise, Axel likes a good lap to cuddle on. He is intelligent, fearless and can even be vocal at times but he is just trying to tell you ""Hey I love attention and want to work. He is also a jumper extraordinaire Since he is so smart, he needs an experienced person who will continue his training and enjoy taking him for walks. Axel will be loyal to you and bring you lots of joy for many years to come."
musician,Tom Morello,"Born in Harlem, New York, and raised in Libertyville, Illinois, Morello became interested in music and politics while in high school. He attended Harvard University and earned a Bachelor of Arts degree from the Committee on Degrees in Social Studies. After his previous band Lock Up disbanded, Morello met Zack de la Rocha. The two founded Rage Against the Machine together, going on to become one of the more popular and influential rock acts of the 1990s.","Penny is a 50lb pitbull mix that was found abandoned. Penny is good with some dogs but struggles most in the intial meeting phase with a combination of curiously, anxiousness, excitement, and poor social skills.  She also has the ability to be friendly and cordial from afar. Penny is very loving and affectionate with her humans and is missing stability in her life of a family. She is house and crate trained and follows the energy of her surroundings being the best cuddler or the best play buddy! Penny is decent on leash and attentive to learning new things making her an easy to teach companion. "
musician,King Sunny Adé,"King Sunny Adé is a Nigerian jùjú singer, songwriter and multi-instrumentalist. He is regarded as one of the first African pop musicians to gain international success, and has been called one of the most influential musicians of all time. Sunny Adé formed his own backing band in 1967, eventually known as his African Beats. After achieving national success in Nigeria during the 1970s and founding his own independent label, Sunny Adé signed to Island Records in 1982 and achieved international success with the albums Juju Music (1982) and Synchro System (1983); the latter garnered him a Grammy nomination, a first for a Nigerian artist. His 1998 album Odu also garnered a Grammy nomination. Sunny Adé currently serves as chairperson of the Musical Copyright Society of Nigeria.","This young happy go lucky gal is Evelyn and she will surely brighten up your day. She is friendly, spunky, peppy and loves playtime with other dogs. Evelyn is probably close to a year old so she still has puppy zest and would benefit for training as all dogs do..,... even if they are older! She loves to get some pets and snuggles and is just a sweet dog that enjoys time being the center of attention. She loves being outside running around."
musician,Steve Albini,"Steve Albini is an American musician, record producer, audio engineer, and music journalist. He was a member of Big Black, Rapeman, and Flour, and is a member of Shellac. He is the founder, owner and principal engineer of Electrical Audio, a recording studio complex in Chicago. In 2018, Albini estimated that he had worked on several thousand albums during his career. Albini is also known for his outspoken and controversial views on the music industry, having stated repeatedly that it financially exploits artists and homogenizes their sound. Nearly alone among well-known producers and musicians, Albini refuses to take ongoing royalties from album sales, feeling that a producer's job is to record the music to the band's desires, and that paying a producer as if they had contributed artistically to an album is unethical.","Tami has a cleft lip and palate, as well as dry eye and had a skin infection needing more care than the shelter was able to provide. She is an adorable little lady that loves and demands affection, human companionship and is super playful. She is ok around other animals but is very much a diva and jealous little lady that would rather be the only spoiled princess in the household. Tami loves water and overall is a goofy little girl."
musician,Ian MacKaye,"Ian Thomas Garner MacKaye (born April 16, 1962) is an American singer, musician, songwriter, and record producer. Active since 1979, he is best known as the co-founder and owner of Dischord Records, a Washington, D.C.-based independent record label and the frontman of hardcore punk band Minor Threat and post-hardcore band Fugazi. MacKaye was also the frontman for the short-lived bands The Teen Idles, Embrace and Pailhead, a collaboration with the band Ministry. MacKaye is a member of The Evens, a two-piece indie rock group he formed with his wife Amy Farina in 2001 and in 2018 formed the band Coriky with Farina and his Fugazi band mate Joe Lally. Along with his seminal band Minor Threat, he is credited with coining the term ""straight edge"" to describe a personal ideology that promotes abstinence from alcohol and other drugs, though MacKaye has stated that he did not intend to turn it into a movement.","Bozo (a.k.a. BoBo), is an 8-year-old male Beagle-mix who weighs about 40 pounds and gets along with kids, adults and other dogs. Bozo is a sweet, happy, loving guy who enjoys short walks, car rides and LOVES treats/chews. He is house-, crate-, and potty pad trained and does best on a frequent potty schedule. This special boy is looking for the last family he will ever have. He has heart disease and a collapsed trachea due to an enlarged heart. Physical activity must be kept to a minimum and he needs rest breaks to avoid over exertion. He requires multiple medications daily but he takes them without difficulty."
musician,Tabu Ley Rochereau,"Pascal-Emmanuel Sinamoyi Tabu (13 November 1940 – 30 November 2013), better known as Tabu Ley Rochereau, was a leading African rumba singer-songwriter from the Democratic Republic of the Congo. He was the leader of Orchestre Afrisa International, as well as one of Africa's most influential vocalists and prolific songwriters. Along with guitarist Dr Nico Kasanda, Tabu Ley pioneered soukous (African rumba) and internationalised his music by fusing elements of Congolese folk music with Cuban, Caribbean and Latin American rumba. He has been described as ""the Congolese personality who, along with Mobutu, marked Africa's 20th century history."" He was dubbed ""the African Elvis"" by the Los Angeles Times. After the fall of the Mobutu regime, Tabu Ley also pursued a political career. His musical career ran parallel to the other great Congolese rhumba bandleader and rival Franco Luambo Makiadi who ran the band TPOK Jazz throughout the 1960s, 1970s and '80s. During his career, Tabu Ley composed up to 3,000 songs and produced 250 albums.","Tess is a beautiful 2 year old German Shepherd who weighs about 60 lbs. She is spayed, up to date on shots, micro chipped, on heartworm and flea and tick prevention. We expect that she will be a large sized dog when full grown (check out those paws)! You may have also noticed the she is wearing a diaper. That is because she is a special needs dog now likely at the hands of a cruel individual. We suspect that she received some trauma when she was 6-8 weeks old (likely kicked) and of course received no vet care at the time of the incident. Then she found herself in the shelter when just 3 months old. The shelter had her broken tail amputated and had her spayed, but didn't realize her other injury."
musician,Boban Marković,"Boban Marković is a Serbian Romani trumpet player and brass ensemble leader from Vladičin Han, which can be clearly heard in their music. They have won several of the most important prizes (""Golden Trumpet"", ""First Trumpet"" and ""The Best Orchestra"") at the Guča trumpet festival, called ""Dragačevski Sabor"", which has been held every August in Central Serbia's town of Guča, since 1961.","PUDDIN is an adult male American Bulldog mix. He is black with white markings. His weight is not noted, but he is clearly a mid to large size dog. Staff really likes him! His pictures make him look serious and severe. He is anything but that once he is allowed out of his kennel. Unfortunately, that has not been able to happen very often during the time that he has been at the shelter. He acts like a child in a candy store and he wants to run and play and he has the biggest smile on his face that you could ever imagine."
musician,Toumani Diabaté,"Toumani Diabaté (born 10 August 1965) is a Malian kora player. In addition to performing the traditional music of Mali, he has also been involved in cross-cultural collaborations with flamenco, blues, jazz, and other international styles. Diabaté comes from a long family tradition of kora players, including his father Sidiki Diabaté, who recorded the first ever kora album in 1970. His family's oral tradition tells of 70 generations of musicians preceding him in a patrilineal line. His cousin Sona Jobarteh is the first female kora player to come from a Griot family. His younger brother Mamadou Sidiki Diabaté is also a prominent kora player.",Vega is a gorgeous black and white Pit Bull mix with her signature perfectly placed spots! She is friendly with adults and has medium energy. This sweet lady is easy to care for and does not need to be groomed. Vega loves to do her business outside and then get the zoomies! She absolutely loves bones and/or chews! They put her in her happy place!
musician,Leslie Feist,"Leslie Feist (born 13 February 1976), better known by her stage name Feist, is a Canadian indie pop singer-songwriter and guitarist, performing both as a solo artist and as a member of the indie rock group Broken Social Scene. Leslie Feist was born on 13 February 1976 in Amherst, Nova Scotia, Canada. Her parents are both artists. Her father, Harold Feist, is an American-Canadian abstract expressionist painter who taught at both the Alberta College of Art and Design and Mount Allison University in Sackville, New Brunswick. Her mother, Lyn Feist, was a student of ceramics from Saskatchewan. After their first child, Ben, was born, the family moved to Sackville.","This is Wendy. She is a beautiful and loving young girl who has had a rough life and has a hard time with trusting. She's not a fan of lots of noise and activity. She loves to go lay on the couch or the bed and just chill. She is very inquisitive and always watches the birds and squirrels with her big beautiful brown eyes! She walks great on a leash and has never had a single accident in the house. She plays well with all 3 of my resident dogs, big and small. Seems to not care about the cats at all. She is very calm but still pretty skittish. Quick movements and sudden sounds frighten her. "
musician,Gillian Welch,"Gillian Howard Welch (born October 2, 1967) is an American singer-songwriter. She performs with her musical partner, guitarist David Rawlings. Their sparse and dark musical style, which combines elements of Appalachian music, bluegrass, country and Americana, is described by The New Yorker as ""at once innovative and obliquely reminiscent of past rural forms."" Gillian Howard Welch was born on October 2, 1967 in New York City, and was adopted by Mitzie Welch (née Marilyn Cottle) and Ken Welch, comedy and music entertainers. Her biological mother was a freshman in college, and her father was a musician visiting New York City. Welch has speculated that her biological father could have been one of her favorite musicians, and she later discovered from her adoptive parents that he was a drummer. Alec Wilkinson of The New Yorker stated that ""from an address they had been given, it appeared that her mother ... may have grown up in the mountains of North Carolina"". When Welch was three, her adoptive parents moved to Los Angeles to write music for The Carol Burnett Show. They also appeared on The Tonight Show.","Shadow is one awesome young boy! He's extra friendly, good on a leash, seems to be house trained, gives hugs, and loves back scratches and head rubs. Among his other many talents is that he sits on command and catches treats like a pro. "
musician,David Rawlings,"David Todd Rawlings (December 31, 1969) is an American guitarist, singer, and record producer. He is known for his partnership with singer and songwriter Gillian Welch. He and Welch were nominated for the Academy Award for Best Original Song at the 91st Academy Awards for ""When a Cowboy Trades His Spurs for Wings"" from The Ballad of Buster Scruggs. Rawlings attended the Berklee College of Music and studied with Lauren Passarelli. He produced albums by Gillian Welch, Willie Watson and Old Crow Medicine Show. He leads the Dave Rawlings Machine with Gillian Welch, Willie Watson, Paul Kowert, and Brittany Haas. John Paul Jones of Led Zeppelin has been known to play mandolin with the band occasionally. Rawlings contributed to the albums Cassadaga by Bright Eyes, Spooked by Robyn Hitchcock, and Heartbreaker by Ryan Adams, with whom he wrote two songs, ""To Be Young (Is to Be Sad, Is to Be High)"" and ""Touch, Feel and Lose"". His vocal style has often been compared to that of Bob Dylan.","Iris adores her humans, and does not seem to meet a stranger she doesn't like. She is a wonderful, loving and sweet girl, but she is still young & a pup at heart. She does very well on a leash; but if she sees something that really interests her, she will pull, and, so, she needs work on this. Iris is a very loving, special young lady."
