class,name,profile description
artist,Jacob Lawrence,"Jacob Armstead Lawrence (September 7, 1917 – June 9, 2000) was an American painter known for his portrayal of African-American historical subjects and contemporary life. Lawrence referred to his style as ""dynamic cubism"", although by his own account the primary influence was not so much French art as the shapes and colors of Harlem. He brought the African-American experience to life using blacks and browns juxtaposed with vivid colors. He also taught and spent 16 years as a professor at the University of Washington. Lawrence is among the best-known twentieth-century African-American painters, known for his modernist illustrations of everyday life as well as narratives of African-American history and historical figures. At the age of 23 he gained national recognition with his 60-panel The Migration Series, which depicted the Great Migration of African Americans from the rural South to the urban North. The series was purchased jointly by the Phillips Collection in Washington, D.C., and the Museum of Modern Art (MoMA) in New York. Lawrence's works are in the permanent collections of numerous museums, including the Philadelphia Museum of Art, the Whitney Museum, Metropolitan Museum of Art, the Brooklyn Museum, Reynolda House Museum of American Art, and the Museum of Northwest Art. His 1947 painting The Builders hangs in the White House."
artist,Frida Kahlo,"Magdalena Carmen Frida Kahlo y Calderón (6 July 1907 – 13 July 1954) was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naïve folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist. She is known for painting about her experience of chronic pain. Born to a German father and a mestiza mother, Kahlo spent most of her childhood and adult life at La Casa Azul, her family home in Coyoacán – now publicly accessible as the Frida Kahlo Museum. Although she was disabled by polio as a child, Kahlo had been a promising student headed for medical school until she suffered a bus accident at the age of 18, which caused her lifelong pain and medical problems. During her recovery, she returned to her childhood interest in art with the idea of becoming an artist. Kahlo's interests in politics and art led her to join the Mexican Communist Party in 1927, through which she met fellow Mexican artist Diego Rivera. The couple married in 1929, and spent the late 1920s and early 1930s travelling in Mexico and the United States together. During this time, she developed her artistic style, drawing her main inspiration from Mexican folk culture, and painted mostly small self-portraits which mixed elements from pre-Columbian and Catholic beliefs. "
artist,Diego Rivera,"Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez, known as Diego Rivera (December 8, 1886 – November 24, 1957), was a prominent Mexican painter. His large frescoes helped establish the mural movement in Mexican and international art. Between 1922 and 1953, Rivera painted murals in, among other places, Mexico City, Chapingo, and Cuernavaca, Mexico; and San Francisco, Detroit, and New York City, United States. In 1931, a retrospective exhibition of his works was held at the Museum of Modern Art in New York; this was before he completed his 27-mural series known as Detroit Industry Murals. Rivera had numerous marriages and children, including at least one natural daughter. His first child and only son died at the age of two. His fourth wife was fellow Mexican artist Frida Kahlo, with whom he had a volatile relationship that continued until her death. He was married a fifth time, to his agent."
artist,Octavio Ocampo,"Octavio Ocampo (born 28 February 1943 in Celaya, Guanajuato, Mexico) is a Mexican surrealist painter. He grew up in a family of designers, and studied art from early childhood. At art school, Ocampo constructed papier mache figures for floats, altars, and ornaments that were used during carnival parades and other festivals. In high school, Ocampo painted murals for the Preparatory School and the City Hall of Celaya. Ruth Rivera, daughter of artist and muralist Diego Rivera, and Maria Luisa Mendoza encouraged him to attend the School of Painting and Sculpture of the National Fine Art Institute. The talents of Octavio Ocampo are not limited to painting and sculpture, but also extend to acting and dancing. At the Art Institute of San Francisco, he studied all these disciplines and pursued both a film and theater career. In 1976, he began to devote himself solely to painting and sculpture. He now works primarily in the metamorphic style – using a technique of superimposing and juxtaposing realistic and figurative details within the images that he creates."
artist,Nancy Graves,"Nancy Graves (December 23, 1939 – October 21, 1995, in Massachusetts) was an American sculptor, painter, printmaker, and sometime-filmmaker known for her focus on natural phenomena like camels or maps of the Moon. Her works are included in many public collections, including those of the National Gallery of Art (Washington, D.C.), the Brooklyn Museum of Art, the Smithsonian American Art Museum, the National Gallery of Australia (Canberra), the Des Moines Art Center, Walker Art Center (Minneapolis), and the Museum of Fine Arts (St. Petersburg, FL). When Graves was just 29, she was given a solo exhibition at the Whitney Museum of American Art. At the time she was the youngest artist, and fifth woman to achieve this honor."
artist,İsmet Güney,"İsmet Vehit Güney (15 July 1923 – 23 June 2009) was a Cypriot artist, cartoonist, teacher and painter. He is best known as the designer of the modern flag of the Republic of Cyprus, the country's coat of arms and the original Cyprus lira in 1960. Güney's design was unique, as the Republic of Cyprus is the first country in the world to display a map on its flag. In 2008, Kosovo became the second country to adopt a national flag displaying a map. In 1947, Güney became the first Turkish Cypriot painter to open a solo art exhibition. Güney had many solo exhibitions as well as participating in group exhibitions both in Cyprus and abroad. In 1967, a scholarship enabled him to study at Belfast Queen's University's Stranmills College. In 1986 he had a grand retrospective exhibition in Nicosia. Towards the end of his life he worked on graphics and color-separation."
artist,Elaine Hamilton-O'Neal,"Elaine Hamilton-O'Neal (October 13, 1920 – March 15, 2010), professionally known as Elaine Hamilton, was an internationally known American abstract painter and muralist born near Catonsville, Maryland. She was professionally admired by the influential French critic Michel Tapié de Céleyran and exhibited internationally in solo and multiple-artist exhibits in the United States, Mexico, South Asia, Japan, and throughout Europe. She showed twice in the Venice Biennale and won first prize at the 1968 Biennale de Menton in France. She is known for the work of her final stylistic phase, known as action painting. Hamilton is also a high mountain climber with over 30 years experience climbing the Himalayas. She had climbed K2, which is part of the Karakoram Range and known as the Savage Mountain due to the difficulty of ascent, with the second highest fatality rate among those who attempt to climb it. For every four people who have reached the summit, one has died trying. Over the years, Hamilton made nine different trips to different mountains of the Himalayas. She also visited the former kingdom of Sikkim as a guest of Tashi Namgyal, the ruling Chogyal (King) of Sikkim and the royal family."
artist,Grace Hartigan,"Grace Hartigan (March 28, 1922 – November 15, 2008) was an American Abstract Expressionist painter and a significant member of the vibrant New York School of the 1950s and 1960s. Shop windows and their displays were a recurring theme in her work. Her series Brides was begun in 1949, when Hartigan rented a studio at 25 Essex St in lower Manhattan. Inspired by the display windows of the numerous bridal shops concentrated on nearby Grand street, Hartigan (with two unsuccessful marriages behind her) began to paint groups of mannequins dressed in bridal gowns. Grand Street Brides (1954), based on Goya's Carlos IV of Spain and His Family (1800), was one of several works that drew the attention of critics and collectors and established her reputation. Later in her career, Hartigan said, "" bridal theme is one of my empty ritual ideas ... it just seems ludicrous to me to go through all that fuss."" Additionally, she stated, ""I paint things that I'm against to try to make them wonderful ... very often."""
artist,Eva Hesse,"Eva Hesse (January 11, 1936 – May 29, 1970) was a German-born American sculptor known for her pioneering work in materials such as latex, fiberglass, and plastics. She is one of the artists who ushered in the postminimal art movement in the 1960s. Eva Hesse is associated with the Postminimal art movement. Arthur Danto distinguished post-minimalism from minimalism by its ""mirth and jokiness,"" its ""unmistakable whiff of eroticism,"" and its ""nonmechanical repetition."" She worked and sometimes competed with her male counterparts in post-minimalist art, a primarily male-dominated movement. Many feminist art historians have noted how her work successfully illuminates women’s issues while refraining from any obvious political agenda."
artist,Hilma af Klint,"Hilma af Klint (Swedish pronunciation: ; October 26, 1862 – October 21, 1944) was a Swedish artist and mystic whose paintings were the first Western abstract art known to the current art community. A considerable body of her abstract work predates the first purely abstract compositions by Kandinsky. She belonged to a group called ""The Five"", a circle of women inspired by Theosophy who shared a belief in the importance of trying to contact the so-called ""High Masters""—often by way of séances. Her paintings, which sometimes resemble diagrams, were a visual representation of complex spiritual ideas.Hilma af Klint felt she was being directed by a force that would literally guide her hand. She wrote in her notebook: ""The pictures were painted directly through me, without any preliminary drawings, and with great force. I had no idea what the paintings were supposed to depict; nevertheless I worked swiftly and surely, without changing a single brush stroke."""
